# actual_behavior: front channels still did not produce forward/reverse motion
# conclusion: PE11 and PE12 remain low at IDR; PC7 remains high; front driver chain failed
seq,time_ms,event,wheel,cmd,pe_odr,pc_odr,pe_idr,pc_idr,tim5_ccr1,tim5_ccr2,tim3_ccr1,tim3_ccr2
0,0,2,255,0,0x0000,0x0000,0x0003,0x3FB6,0,0,0,0
1,0,1,255,0,0x0000,0x0000,0x0003,0x3FB6,0,0,0,0
2,1000,3,0,-60,0x0800,0x0000,0x0003,0x3FB6,2160,0,0,0
3,3000,4,0,0,0x0000,0x0000,0x0003,0x3FB6,0,0,0,0
4,4000,3,0,60,0x0400,0x0000,0x0403,0x3FB6,2160,0,0,0
5,6000,4,0,0,0x0000,0x0000,0x0003,0x3FB6,0,0,0,0
6,8000,3,1,-60,0x0000,0x0080,0x0003,0x3FB6,0,2160,0,0
7,10000,4,1,0,0x0000,0x0000,0x0003,0x3FB6,0,0,0,0
8,11000,3,1,60,0x1000,0x0000,0x0003,0x3FB6,0,2160,0,0
9,13000,4,1,0,0x0000,0x0000,0x0003,0x3FB6,0,0,0,0
10,15000,1,255,0,0x0000,0x0000,0x0003,0x3FB6,0,0,0,0
