# actual_behavior: known-good motor did not move on either front driver channel
# conclusion: PA0/PA1 and all front direction GPIOs reach the commanded level at MCU pads
seq,time_ms,event,wheel,cmd,pe_odr,pc_odr,pa_odr,pe_idr,pc_idr,pa_idr,pg_odr,pg_idr,tim5_ccr1,tim5_ccr2,tim3_ccr1,tim3_ccr2
0,0,2,255,0,0x0000,0x0000,0xA000,0x0003,0x2FBB,0xBF20,0x0000,0xC9FC,0,0,0,0
1,0,1,255,0,0x0000,0x0000,0xA000,0x0003,0x2FBB,0xBF20,0x0000,0xC9FC,0,0,0,0
2,1000,3,0,60,0x0000,0x0080,0xA001,0x0003,0x2FBB,0xBF21,0x0000,0xC9FC,2160,0,0,0
3,2000,4,0,0,0x0000,0x0000,0xA000,0x0003,0x2FBB,0xBF20,0x0000,0xC9FC,0,0,0,0
4,3000,3,0,-60,0x2000,0x0000,0xA001,0x2003,0x2FBB,0xBF21,0x0000,0xC9FC,2160,0,0,0
5,4000,4,0,0,0x0000,0x0000,0xA000,0x0003,0x2FBB,0xBF20,0x0000,0xC9FC,0,0,0,0
6,6000,3,1,60,0x4000,0x0000,0xA002,0x4003,0x2FBB,0xBF22,0x0000,0xC9FC,0,2160,0,0
7,7000,4,1,0,0x0000,0x0000,0xA000,0x0003,0x2FBB,0xBF20,0x0000,0xC9FC,0,0,0,0
8,8000,3,1,-60,0x0400,0x0000,0xA002,0x0403,0x2FBB,0xBF22,0x0000,0xC9FC,0,2160,0,0
9,9000,4,1,0,0x0000,0x0000,0xA000,0x0003,0x2FBB,0xBF20,0x0000,0xC9FC,0,0,0,0
10,11000,1,255,0,0x0000,0x0000,0xA000,0x0003,0x2FBB,0xBF20,0x0000,0xC9FC,0,0,0,0
