# actual_behavior: LR and RR only moved forward after swapping PE8/PE9 wires
# conclusion: fault stays on MCU PE8; PE9 still follows ODR
seq,time_ms,event,wheel,cmd,pe_odr,pc_odr,pe_idr,pc_idr,tim5_ccr1,tim5_ccr2,tim3_ccr1,tim3_ccr2
0,0,2,255,0,0x0000,0x0000,0x000B,0x3FA2,0,0,0,0
1,0,1,255,0,0x0000,0x0000,0x000B,0x3FA2,0,0,0,0
2,1000,3,2,-60,0x0100,0x0000,0x000B,0x3FA2,0,0,2160,0
3,3000,4,2,0,0x0000,0x0000,0x200B,0x3FA2,0,0,0,0
4,4000,3,2,60,0x0080,0x0000,0x208B,0x3FA2,0,0,2160,0
5,6000,4,2,0,0x0000,0x0000,0x2003,0x3FA2,0,0,0,0
6,7000,3,3,-60,0x0000,0x0040,0x2003,0x3FE2,0,0,0,2160
7,9000,4,3,0,0x0000,0x0000,0x2003,0x3FB2,0,0,0,0
8,10000,3,3,60,0x0200,0x0000,0x2203,0x3FB2,0,0,0,2160
9,12000,4,3,0,0x0000,0x0000,0x2003,0x3FB2,0,0,0,0
10,13000,1,255,0,0x0000,0x0000,0x2003,0x3FA2,0,0,0,0
