motor_gpio.export begin count=10 dropped=0 capacity=64
motor_gpio.header,seq,time_ms,event,wheel,cmd,pe_odr,pc_odr,pa_odr,pe_idr,pc_idr,pa_idr,pg_odr,pg_idr,tim5_ccr1,tim5_ccr2,tim3_ccr1,tim3_ccr2,tim2_ccr3,tim2_ccr4
motor_gpio.log,0,0,1,255,0,0x0040,0x0000,0xA000,0x0042,0x2F8F,0xBE00,0x0000,0xE000,0,0,0,0,0,0
motor_gpio.log,1,1000,3,0,60,0x0044,0x0000,0xA000,0x0047,0x2FAE,0xBF00,0x0000,0x41FC,0,0,0,0,2160,0
motor_gpio.log,2,2000,4,0,0,0x0040,0x0000,0xA000,0x0043,0x6FBE,0xBF00,0x0000,0x41FC,0,0,0,0,0,0
motor_gpio.log,3,3000,3,0,-60,0x0048,0x0000,0xA000,0x004B,0x6FBE,0xBF00,0x0000,0x41FC,0,0,0,0,2160,0
motor_gpio.log,4,4000,4,0,0,0x0040,0x0000,0xA000,0x0043,0x2FBE,0xBF04,0x0000,0x45FC,0,0,0,0,0,0
motor_gpio.log,5,6000,3,1,60,0x0050,0x0000,0xA000,0x0053,0x6FBE,0xBF00,0x0000,0xC5FC,0,0,0,0,0,2160
motor_gpio.log,6,7000,4,1,0,0x0040,0x0000,0xA000,0x0043,0x6FBF,0xBF08,0x0000,0xC5FC,0,0,0,0,0,0
motor_gpio.log,7,8000,3,1,-60,0x0060,0x0000,0xA000,0x0063,0x6FBE,0xBF00,0x0000,0xC5FC,0,0,0,0,0,2160
motor_gpio.log,8,9000,4,1,0,0x0040,0x0000,0xA000,0x0043,0x6FBF,0xBF28,0x0000,0xC5FC,0,0,0,0,0,0
motor_gpio.log,9,11000,1,255,0,0x0000,0x0000,0xA000,0x0003,0x6FBE,0xBF00,0x0000,0x45FC,0,0,0,0,0,0
motor_gpio.export end
