# actual_behavior: no front motor movement
# software_result: STBY and all direction pins follow commands; TIM2 CCR3/CCR4 are correct
seq,time_ms,event,wheel,cmd,pe_odr,pc_odr,pa_odr,pe_idr,pc_idr,pa_idr,pg_odr,pg_idr,tim5_ccr1,tim5_ccr2,tim3_ccr1,tim3_ccr2,tim2_ccr3,tim2_ccr4
0,0,1,255,0,0x0040,0x0000,0xA000,0x0043,0x6F80,0xBE20,0x0000,0x45FC,0,0,0,0,0,0
1,1000,3,0,60,0x0044,0x0000,0xA000,0x0047,0x6F80,0xBE24,0x0000,0x45FC,0,0,0,0,2160,0
2,2000,4,0,0,0x0040,0x0000,0xA000,0x0043,0x6F97,0xBE24,0x0000,0xE5FD,0,0,0,0,0,0
3,3000,3,0,-60,0x0048,0x0000,0xA000,0x004B,0xEF87,0xBF20,0x0000,0xC5FD,0,0,0,0,2160,0
4,4000,4,0,0,0x0040,0x0000,0xA000,0x0043,0xEF97,0xBF20,0x0000,0xC5FD,0,0,0,0,0,0
5,6000,3,1,60,0x0050,0x0000,0xA000,0x0053,0xEF87,0xBF20,0x0000,0xC5FD,0,0,0,0,0,2160
6,7000,4,1,0,0x0040,0x0000,0xA000,0x0043,0xEF87,0xBF20,0x0000,0xC5FD,0,0,0,0,0,0
7,8000,3,1,-60,0x0060,0x0000,0xA000,0x0063,0x6F87,0xBF20,0x0000,0xC5FD,0,0,0,0,0,2160
8,9000,4,1,0,0x0040,0x0000,0xA000,0x0043,0x6F87,0xBF28,0x0000,0xC5FD,0,0,0,0,0,0
9,11000,1,255,0,0x0000,0x0000,0xA000,0x0003,0x6F87,0xBE20,0x0000,0xC5FD,0,0,0,0,0,0
